cohort_rank,standard_crossing_rank,station,slug,standard_score_7d,exact_crossings_7d,artist_crossings_7d,description,country,organization,homepage,inclusion_reason,crossing_status
1,1,KALX 90.7 FM,kalx,0.905987,3,5,Ordinary people making extraordinary radio.,US,UC Berkeley,https://kalx.berkeley.edu,experimental crossing top 80,scored
2,2,KEXP 90.3 FM,kexp,0.901583,10,0,"KEXP is a nonprofit arts organization serving music lovers through in-person, broadcast and online programming.",US,KEXP,https://kexp.org,experimental crossing top 80; Bro Zone,scored
3,3,NEU RADIO,neu-radio,0.896002,3,7,"Neu Radio è la nuova web radio, un collettivo, un aggregatore culturale. In streaming 24/7 da Bologna verso il mondo.",Italy,,https://www.neuradio.it/,experimental crossing top 80; scrape-only experimental set,scored
4,4,Yammat FM,yammat-fm,0.893875,2,7,"Radio streamovi Za drugo stanje svijesti Pokrenite svoj zvuk, live i tematskim glazbenim streamovima. Pred vama je sve što vam treba. play_arrow ROMANTIC REBELS & POP WAVES New Wave / POP / 80's / 90's play_arrow YAMMAT LIVE ON AIR play_arrow STREET SPITTA HIP HOP/",Croatia,,https://www.yammat.fm/,experimental crossing top 80; scrape-only experimental set,scored
5,5,HEADY,heady,0.886769,6,2,"Stream commercial-free music 24/7 on HEADY.FM. Discover underground music, your favorite tracks, emerging artists, and deep cuts without interruptions. Listen online now.",The United States Of America,,https://www.heady.fm/,experimental crossing top 80; scrape-only experimental set,scored
6,6,FIP Rock,fip-rock,0.880855,1,6,Tout l,FR,Radio France,https://www.radiofrance.fr/fip,experimental crossing top 80,scored
7,7,Super45.fm,super45-fm,0.848814,1,9,Radio online desde Santiago de Chile. Probablemente la mejor radio del mundo.,Chile,,https://super45.fm/,experimental crossing top 80; scrape-only experimental set,scored
8,8,FIP,fip-main,0.842342,2,5,Tout l,FR,Radio France,https://www.radiofrance.fr/fip,experimental crossing top 80,scored
9,9,KVSC 88.1 FM,kvsc,0.826349,2,5,KVSC Your Sound Alternative,US,St. Cloud State University,https://www.kvsc.org,experimental crossing top 80,scored
10,10,WXYC 89.3 FM,wxyc,0.811119,1,7,"UNC-Chapel Hill's student-run, freeform radio station",US,UNC Chapel Hill,https://wxyc.org,experimental crossing top 80; Bro Zone; mission-led editorial,scored
11,11,Radyo A (Radyo Anadolu Üniversitesi),radyo-a-radyo-anadolu-niversitesi,0.802820,1,8,"Scraped tags: blues, folk, pop rock, university radio.",Türkiye,,http://www.radyoa.anadolu.edu.tr/,experimental crossing top 80,scored
12,12,WPKN 89.5 FM,wpkn,0.786322,2,4,"WPKN is a 10,000-watt non-profit listener-supported community radio station; broadcasting at 89.5 FM and streaming online at WPKN.org",US,WPKN,https://wpkn.org,experimental crossing top 80,scored
13,13,KXLU 88.9 FM,kxlu,0.776545,2,3,KXLU 88.9 FM,US,Loyola Marymount University,https://kxlu.com,experimental crossing top 80; Bro Zone,scored
14,14,Candelight,candelight,0.745465,1,4,Love Songs & Pop Classics,The Netherlands,,http://www.candlelight.nl/,experimental crossing top 80; scrape-only experimental set,scored
15,15,Le Bon Mix Radio 97.9,le-bon-mix-radio-97-9,0.705653,0,5,"Le Bon Mix distille des rythmes Funk, Jazz, Disco, Electro, Pop, Soul, World, Reggae, Rock, & more... 4 radios gratuites et sans pub pour un mélange pointu de titres anciens jusqu",France,,https://www.lebonmix.radio/,experimental crossing top 80,scored
16,16,WMFO 91.5 FM,wmfo,0.666677,1,3,Tufts Freeform Radio,US,Tufts University,https://wmfo.org,experimental crossing top 80,scored
17,17,RadioActive,radioactive,0.665906,1,4,RadioActive Official – A Small Radio Station … A Huge Fan Club,Greece,,https://radioactivefm.gr/,experimental crossing top 80,scored
18,18,KCRW — Eclectic 24,kcrw-eclectic24,0.657411,1,3,Scraped tags: public.,US,KCRW,https://www.kcrw.com/music/shows/eclectic24,experimental crossing top 80; Bro Zone,scored
19,19,BBC 6 Music,bbc-6music,0.568511,0,5,Listen live to Radio 6 Music on BBC Sounds,GB,BBC,https://www.bbc.co.uk/6music,experimental crossing top 80,scored
20,20,Radio SAR - Studencka Agencja Radiowa,radio-sar-studencka-agencja-radiowa,0.504503,1,6,Radio SAR – Rozgrzewamy łącza od 1962 roku!,Poland,,https://radiosar.pl/,experimental crossing top 80,scored
21,21,Nostalgie New York,nostalgie-new-york,0.468064,2,1,"✅4️⃣「马到成功,世界杯官方合作伙伴」猎豹体育收到菲律宾政府的授权成为最优秀的娱乐服务平台,猎豹体育是亚洲最权威的一个娱乐媒体平台,成为玩家们最喜欢的游戏资讯猎豹体育就是因为有超快的速度和海量的游戏资源才能博得众多玩家的喜爱,让您足不出户。",The United States Of America,,https://nstlgy.com/,experimental crossing top 80,scored
22,22,FIP Groove,fip-groove,0.426483,0,4,Tout l,FR,Radio France,https://www.radiofrance.fr/fip,experimental crossing top 80,scored
23,23,WTBU 89.3 FM,wtbu,0.412373,0,2,Boston University's Student-Run Radio Station,US,Boston University,https://spinitron.com/WTBU/,experimental crossing top 80,scored
24,24,WPRB 103.3 FM,wprb,0.406636,0,2,"WPRB 103.3 FM – Princeton, NJ – Community Supported Independent Radio",US,Princeton University,https://wprb.com,experimental crossing top 80,scored
25,25,WLUW 88.7 FM,wluw,0.381530,0,2,"Trusted by over 300 non-commercial stations, Spinitron supports playlist logging, reporting, web publishing, automation, push and much more.",US,Loyola University Chicago,https://spinitron.com/WLUW/,experimental crossing top 80,scored
26,26,WHRB 95.3 FM,whrb,0.378374,0,4,"Listen to Harvard Radio Broadcasting, WHRB 95.3 FM Cambridge",US,Harvard University,https://whrb.org,experimental crossing top 80,scored
27,27,CJSR 88.5 FM,cjsr,0.371392,1,1,"Edmonton's listener-supported, volunteer-powered community radio",CA,University of Alberta,https://www.cjsr.com,experimental crossing top 80,scored
28,28,Traxx FM - Cool Jam,traxx-fm-cool-jam,0.369828,0,5,"Scraped tags: commercial-free, jazz, lounge, no ads, nu jazz, nu-jazz, relax, relaxing, smooth jazz.",Switzerland,,http://www.traxx.fm/,experimental crossing top 80,scored
29,29,Radio Paradise World/ETC Mix 192k MP3,radio-paradise-world-etc-mix-192k-mp3,0.359016,1,1,"Radio Paradise streams highly curated, eclectic mixes of music -- chosen by real humans -- with unparalleled audio quality.",The United States Of America,,https://radioparadise.com/,experimental crossing top 80,scored
30,30,KUTX 98.9 FM,kutx,0.339451,0,3,"KUTX is a full-time non-commercial music station broadcasting on 98.9 FM in Austin, Texas, and streamed worldwide at kutx.org.",US,KUTX,https://kutx.org/,experimental crossing top 80,scored
31,31,dinamo.fm sleep,dinamo-fm-sleep,0.202405,1,1,Official website of Istanbul's premier electronic/indie radio station.,Türkiye,,http://www.dinamo.fm/,scrape-only experimental set,scored
32,32,SomaFM Black Rock FM (128k AAC Non-SSL),somafm-black-rock-fm-128k-aac-non-ssl,0.188785,1,0,"From the Black Rock Desert playa to the world, year round!",The United States Of America,,http://somafm.com/brfm/,experimental crossing top 80,scored
33,33,DKFM Classic,dkfm-classic,0.178511,0,6,Scraped tags: shoegaze.,,,https://decayfm.com/dkfm-classic-2/,experimental crossing top 80,scored
34,34,Synthradio,synthradio,0.175151,1,20,"Лучшая электронная музыка - Synthpop, Alternative, EBM, Futurepop и многое другое на Synth Radio! Круглосуточно!",The Russian Federation,,http://synth-radio.ru/,experimental crossing top 80,scored
35,35,Radio Caprice - Post-rock,radio-caprice-post-rock,0.174782,1,1,Scraped tags: post-rock.,The Russian Federation,,http://radcap.ru/postrock.html,experimental crossing top 80; scrape-only experimental set,scored
36,36,ISEKOI Radio | Non-Stop Ambient,isekoi-radio-non-stop-ambient,0.173028,2,4,"Your gateway to cosmic frequencies. ISEKOI monitors the deep space for unique signals, broadcasting these celestial discoveries 24/7.",France,,https://isekoi-radio.com/,experimental crossing top 80; scrape-only experimental set,scored
37,37,Systrum Sistum - SSR1,systrum-sistum-ssr1,0.169826,0,2,Ambient Radio | Radio Electronica,Australia,,https://www.systrum.net/,experimental crossing top 80; scrape-only experimental set,scored
38,38,SomaFM — Lush,somafm-lush,0.167048,0,1,"Sensuous and mellow female vocals, many with an electronic influence.",US,SomaFM,https://somafm.com/lush/,experimental crossing top 80,scored
39,39,FIP World,fip-world,0.161953,0,5,Tout l,FR,Radio France,https://www.radiofrance.fr/fip,experimental crossing top 80,scored
40,40,KPISS,rb-56241b49-2f23-4266-bdad-f4ad9a41ee24,0.157856,0,1,No scraped station description is currently available.,,,,experimental crossing top 80,scored
41,41,PANORAMA80,panorama80,0.157856,0,1,"Scraped tags: 80s, ebm, electro, italo disco, minimal wave, new beat, new wave, pop, soundtracks, synthpop, synthwave, techno.",Germany,,http://www.facebook.com/panorama80,experimental crossing top 80,scored
42,42,Ambiento,ambiento,0.156045,0,1,Muzica ambientala - lounge - chillout | Ambiento Radio,Romania,,https://ambientoradio.com/,experimental crossing top 80; scrape-only experimental set,scored
43,43,Polushon,polushon,0.154063,1,0,Polushon Radio,Sweden,,http://polushon.com/,experimental crossing top 80; scrape-only experimental set,scored
44,44,Radio FM,radio-fm,0.154063,0,1,Slovenská televízia a rozhlas,Slovakia,,https://fm.rtvs.sk/,experimental crossing top 80,scored
45,45,"WBEZ-HD2 ""Vocalo Stream"" Chicago, IL",wbez-hd2-vocalo-stream-chicago-il,0.148921,0,1,Vocalo Radio 91.1FM Chicago's Urban Alternative + NPR Music - Vocalo Radio 91.1FM Chicago's Urban Alternative + NPR Music,US,,http://vocalo.org/,experimental crossing top 80,scored
46,46,181.FM - Chilled Out (USA) 128k mp3,181-fm-chilled-out-usa-128k-mp3,0.148745,1,0,Chilled Out Webplayer,The United States Of America,,http://player.181fm.com/?station=181-chilled,experimental crossing top 80,scored
